n_qubits,state_type,observable,observable_weight,method,requested_copy_budget,mean_actual_total_copies,mean_collection_total_copies,replicates,bias,mae,rmse,p90_absolute_error,physical_fraction
2,product,XX,2,classical_shadow,4500,4500.0,4500.0,20,0.015883412744501613,0.03557612906621373,0.041710989447560645,0.0720140135852091,not_applicable
2,product,XX,2,direct_split_collection_budget,90,22.0,88.0,20,0.017356140017228877,0.15564300043065382,0.18596640689326674,0.2851525542670519,not_applicable
2,product,XX,2,direct_split_collection_budget,180,45.0,180.0,20,8.341274450160696e-05,0.09141978053858085,0.11123411841839707,0.18324054897932066,not_applicable
2,product,XX,2,direct_split_collection_budget,450,112.0,448.0,20,0.034726269887358746,0.07881792593870118,0.09381694866680552,0.15755302805315718,not_applicable
2,product,XX,2,direct_split_collection_budget,900,225.0,900.0,20,-0.00036103169994283963,0.046396961770493045,0.05517553723409346,0.08917055625699563,not_applicable
2,product,XX,2,direct_split_collection_budget,1800,450.0,1800.0,20,-0.004583253922165053,0.027410207992172565,0.03498717322419976,0.04179901891351658,not_applicable
2,product,XX,2,direct_split_collection_budget,4500,1125.0,4500.0,20,0.0031056349667238337,0.018618012044407457,0.023987309748887,0.04201682572972041,not_applicable
2,product,XX,2,direct_targeted_pauli,90,90.0,360.0,20,-0.02769436503327617,0.07147106841984514,0.09168306801491939,0.11879610453487623,not_applicable
2,product,XX,2,direct_targeted_pauli,180,180.0,720.0,20,-0.019916587255498393,0.06397320612339194,0.07919492318364256,0.11882916939840206,not_applicable
2,product,XX,2,direct_targeted_pauli,450,450.0,1800.0,20,0.01763896830005716,0.03728377106970315,0.04430446796779354,0.06552089204681638,not_applicable
2,product,XX,2,direct_targeted_pauli,900,900.0,3600.0,20,-0.0034721428110539507,0.01935530136401338,0.027374406024358183,0.0548294437430044,not_applicable
2,product,XX,2,direct_targeted_pauli,1800,1800.0,7200.0,20,0.002861190522279392,0.019026207116971776,0.024551658174744435,0.036299349225664246,not_applicable
2,product,XX,2,direct_targeted_pauli,4500,4500.0,18000.0,20,-0.004405476144387277,0.015149130602819472,0.017591124196416934,0.027119394719039788,not_applicable
2,product,XX,2,linear_inversion,90,90.0,90.0,20,-0.03991658725549842,0.1686054879763484,0.21626685698738735,0.352838419566915,0.0
2,product,XX,2,linear_inversion,180,180.0,180.0,20,0.0750834127445016,0.15864689321059008,0.19655479476394674,0.30927026162324034,0.0
2,product,XX,2,linear_inversion,450,450.0,450.0,20,0.014083412744501613,0.09685607984636062,0.12106340822444304,0.2197746372616595,0.0
2,product,XX,2,linear_inversion,900,900.0,900.0,20,0.015083412744501612,0.07540640956366775,0.09153271862572426,0.13327540207420477,0.0
2,product,XX,2,linear_inversion,1800,1800.0,1800.0,20,0.005583412744501609,0.06173804313374789,0.06923772847367803,0.10568626347683412,0.0
2,product,XX,2,linear_inversion,4500,4500.0,4500.0,20,-0.002916587255498395,0.03580058321617738,0.04431649572605127,0.07185117831560815,0.0
2,product,XX,2,neural_network,90,90.0,90.0,20,-0.08188640720819104,0.1979179972211425,0.2578744742951071,0.40894981345298037,1.0
2,product,XX,2,neural_network,180,180.0,180.0,20,-0.026686311751093657,0.19372588753161757,0.23959405675684212,0.34988757211614757,1.0
2,product,XX,2,neural_network,450,450.0,450.0,20,-0.04595451152511216,0.17635343553886823,0.23390863352840655,0.31757073032501,1.0
2,product,XX,2,neural_network,900,900.0,900.0,20,-0.01577002359813571,0.13614629493495045,0.1580241452132157,0.2579638944714218,1.0
2,product,XX,2,neural_network,1800,1800.0,1800.0,20,-0.0267535155780736,0.10123154036365933,0.13226911782641088,0.2069356781501439,1.0
2,product,XX,2,neural_network,4500,4500.0,4500.0,20,-0.04780040723484317,0.1032971054040979,0.13131982240661844,0.22792176713745038,1.0
2,product,XX,2,rank_one_mle,90,90.0,90.0,20,0.009972714132117474,0.07838726755733152,0.10273122952089864,0.17241337061553763,1.0
2,product,XX,2,rank_one_mle,180,180.0,180.0,20,-0.000855632483579203,0.06977772744654412,0.0864038264038824,0.12616921924217778,1.0
2,product,XX,2,rank_one_mle,450,450.0,450.0,20,-0.005563044059107199,0.0626132772545744,0.08260221810742975,0.137920269985673,1.0
2,product,XX,2,rank_one_mle,900,900.0,900.0,20,0.010248672088288665,0.04579015340305623,0.05811590760950161,0.08489913636457364,1.0
2,product,XX,2,rank_one_mle,1800,1800.0,1800.0,20,0.0005606559187656658,0.01819866335585732,0.023901283487673935,0.03994793810170676,1.0
2,product,XX,2,rank_one_mle,4500,4500.0,4500.0,20,-0.004786054674673327,0.01750490319625599,0.022419276972808704,0.0361710380005293,1.0
2,product,ZI,1,classical_shadow,90,90.0,90.0,20,-0.06856169662114993,0.14996596581408256,0.1796876715978856,0.30494561792415215,not_applicable
2,product,ZI,1,classical_shadow,180,180.0,180.0,20,0.032271636712183374,0.11368977765360624,0.1368666446673421,0.20510406498214065,not_applicable
